track id,track name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),Surf Mesa,0.674,0.774,11.0,-7.567,0.0,0.0892,0.0686,0.00188,0.393,0.33,112.05
3H7ihDc1dqLriiWXwsc2po,Breaking Me,Topic,0.789,0.72,8.0,-5.652,0.0,0.218,0.223,0.0,0.129,0.664,122.031
7kQkmyoHCEqwe7QwDbkSXM,Let's Fall in Love for the Night,FINNEAS,0.737,0.408,5.0,-7.941,1.0,0.104,0.802,0.0,0.171,0.374,127.921
3QpkbrYXtlU3LRJu3sTK6V,Joy,Bastille,0.559,0.915,9.0,-4.811,1.0,0.132,0.222,0.0,0.113,0.361,117.914
2K0r5GD5zYlEMx2M7ZMcqG,Better Days,OneRepublic,0.626,0.726,5.0,-5.015,1.0,0.0376,0.235,0.0,0.304,0.257,89.132
28Tv8zltFDr5wBCG3Pfky4,I Love You's,Hailee Steinfeld,0.682,0.783,8.0,-4.997,1.0,0.18,0.0262,0.0,0.206,0.323,106.899
5SspaMrPfWyRCS0GpjIxa6,Good Example (with Andy Grammer),R3HAB,0.456,0.496,1.0,-6.986,1.0,0.0743,0.427,0.0,0.134,0.45,90.552
7rpNuuoMbid56XkDsx2FjE,Black And White,Niall Horan,0.443,0.582,2.0,-6.02,1.0,0.0482,0.0301,0.0,0.127,0.239,147.589
76nqCfJOcFFWBJN32PAksn,Kings & Queens,Ava Max,0.638,0.688,1.0,-4.056,0.0,0.0407,0.00775,0.0,0.126,0.434,129.856
20d27F17AZOxTJOEHAVK2Y,Conversations in the Dark - John Legend vs. David Guetta,John Legend,0.572,0.742,8.0,-4.589,0.0,0.0347,0.245,0.0,0.108,0.376,127.19
5Pgq1Gfeth2CuUhyCXwlfC,Take It Easy,Surfaces,0.765,0.689,6.0,-5.616,1.0,0.0456,0.236,7.39e-06,0.114,0.497,144.958
4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),Justin Bieber,0.806,0.546,9.0,-6.637,1.0,0.0575,0.3,0.0,0.102,0.874,147.986
0TrPqhAMoaKUFLR7iYDokf,Know Your Worth,Khalid,0.79,0.694,9.0,-7.726,0.0,0.0708,0.145,0.00252,0.281,0.508,103.007
0ycFQvBTfuo1LCdG0HhszL,Tattoos Together,Lauv,0.862,0.4,4.0,-7.486,1.0,0.0736,0.00575,7.49e-06,0.123,0.596,122.963
4wNIkl5XGiAACjFBlDWuSd,What A Man Gotta Do,Jonas Brothers,0.852,0.698,9.0,-7.206,1.0,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039
58fGC7ZRlPhW1J7kLx1goK,Keep It Simple (feat. Wilder Woods),Matoma,0.629,0.82,1.0,-5.651,1.0,0.0543,0.0142,4.34e-05,0.039,0.329,113.95
1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,Harry Styles,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39
35MKhw2YBKApmD7fAnPERC,Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,0.547,0.795,8.0,-3.721,1.0,0.0489,0.145,0.0,0.11,0.723,118.118
1z1XegUChLLQfcbtIK8ABn,Body Back (feat. Maia Wright),Gryffin,0.686,0.83,8.0,-4.437,1.0,0.0369,0.0948,1.33e-06,0.182,0.486,123.032
